词根分类	序号	内容
力量	7	索桥拉熔岩
力量	8	木柴被捆紧
力量	9	铁门锁链闭
力量	10	绳结松散开
力量	11	熔岩火球热
力量	12	锤子敲铁砧
力量	13	绳索系货箱
力量	14	巨斧砍木块
力量	15	石墙裂光芒
力量	16	铁环绑绳紧
力量	17	螺旋钻拧木
力量	18	盐晶矿闪烁
力量	19	钢盾坚韧立
力量	20	金箱溢金币
力量	21	支撑柱稳台
力量	22	煤炭落熔炉
力量	23	战士雕举剑
力量	24	瞭望塔粗壮
力量	25	机械爪抓链
情感	1	彩带叠蝴蝶
情感	2	帐篷布松弛
情感	3	宝箱满金币
情感	4	长矛断地面
情感	5	弓弦拉紧张
情感	6	石碑刻誓言
情感	7	鲜花束花瓶
情感	8	乌鸦飞恐惧
情感	9	橡树茂成长
情感	10	火炬燃心形
情感	11	兔子跳惊吓
情感	12	木枷锁双手
情感	13	旗帜扬奖章
情感	14	金苹果闪光
情感	15	蜡烛滴蜡泪
情感	16	长袍束腰带
情感	17	宴会桌丰盛
情感	18	权杖意志辉
情感	19	面包冒热气
情感	20	酒桶洒混乱
情感	21	雕像持盾牌
情感	22	灯笼明亮照
情感	23	看门犬忠诚
情感	24	徽章锤痕印
情感	25	规则书规范
社会	1	尖矛刺天空
社会	2	卷轴录法律
社会	3	石碑镶宝石
社会	4	城市模型展
社会	5	统治者持杖
社会	6	石板刻命令
社会	7	盔甲列长矛
社会	8	天平判公平
社会	9	鞭子挂木架
社会	10	大厅圆顶旗
社会	11	告示牌控诉
社会	12	石磨转麦粒
社会	13	集会台演讲
社会	14	权杖规则辉
社会	15	旗帜绘人形
社会	16	瞭望塔管理
社会	17	拱门大理石
社会	18	铜锣发警告
社会	19	书卷发命令
社会	20	喷泉水柱涌
社会	21	人偶举手欢
社会	22	露台人群聚
社会	23	算盘滑税收
社会	24	瞭望哨驻守
社会	25	瞭望模型小
身体	1	号角召力量
身体	2	幼苗破土芽
身体	3	石像持长矛
身体	4	树根吞光芒
身体	5	木盾刻面部
身体	6	石板留脚印
身体	7	小路穿森林
身体	8	藤蔓发神经
身体	9	石手握果实
身体	10	王冠镶头骨
身体	11	雾气现人影
身体	12	树叶似肺部
身体	13	树枝分气管
身体	14	石蟹举蟹钳
身体	15	木梯登旗帜
身体	16	巨耳听声波
身体	17	红宝石心脏
身体	18	小木屋冒烟
身体	19	靴子迈脚印
身体	20	墓碑骷髅符
身体	21	蘑菇似肉块
身体	22	果实如乳房
身体	23	拱门迎旗帜
身体	24	雕像持锄头
身体	25	石床疗符文
时间	1	沙漏流时间
时间	2	钟盘指针转
时间	3	日晷标时刻
时间	4	长杆挑沙漏
时间	5	齿轮实验启
时间	6	日记录一天
时间	7	拱桥裂断开
时间	8	石碑终点符
时间	9	旗帜箭头领
时间	10	钟摆反复荡
时间	11	灯笼仿日光
时间	12	水晶罕时光
时间	13	标杆刻起点
时间	14	钟塔碎片落
时间	15	齿轮序排列
时间	16	界碑分时间
时间	17	石台刻刻度
时间	18	水晶变光芒
时间	19	太阳雕日出
时间	20	树桩现年轮
时间	21	守卫持长矛
时间	22	探针触刻度
时间	23	石板倒计时
时间	24	羽毛笔写时
时间	25	仪器测时间
思想	1	讲台放书本
思想	2	羽毛笔记录
思想	3	书架存相似
思想	4	法则书绳结
思想	5	石牌雕花纹
思想	6	卡片散词语
思想	7	算盘理计算
思想	8	书箱分类放
思想	9	镜子映现实
思想	10	壁画绘几何
思想	11	卷轴记历史
思想	12	书架交汇书
思想	13	火炬燃因果
思想	14	雕像戴智冠
思想	15	书页沉水面
思想	16	石子标数量
思想	17	彩石析特征
思想	18	雾气绕书架
思想	19	烛台燃一致
思想	20	字典列单词
思想	21	天平判思维
思想	22	卷轴记记忆
思想	23	石板盖印章
思想	24	望远镜探索
思想	25	提灯照思考
艺术	1	油画绘花朵
艺术	2	脏布沾颜料
艺术	3	画布待创作
艺术	4	画像仿大师
艺术	5	炭笔绘素描
艺术	6	横条框画布
艺术	7	织布机织布
艺术	8	鲁特琴弹奏
艺术	9	卷轴写文学
艺术	10	吸管取颜料
艺术	11	雕像饰百花
艺术	12	人偶跳舞姿
艺术	13	彩球抛舞会
艺术	14	木人灵活动
艺术	15	旗帜扬奖杯
艺术	16	陶板刻耕作
艺术	17	指挥台掌控
艺术	18	布景戏剧台
艺术	19	锯子切木头
艺术	20	大理石雕刻
艺术	21	面具笑喜剧
艺术	22	钉子固画布
艺术	23	画笔传承艺
艺术	24	溶液溶颜料
艺术	25	烛灯细关注
自然	1	小树苗初种
自然	2	植物花盛开
自然	3	苔藓覆岩石
自然	4	种子萌新芽
自然	5	藤蔓缠木桩
自然	6	大树护幼苗
自然	7	田野开野花
自然	8	石块裂粗糙
自然	9	瀑布溅水花
自然	10	花朵显活力
自然	11	水潭荡涟漪
自然	12	电光跳火花
自然	13	太阳雕光芒
自然	14	星盘刻星辰
自然	15	水晶悬星形
自然	16	风向标旋转
自然	17	树皮碳裂纹
自然	18	雾气含氧光
自然	19	试剂冒气泡
自然	20	藤蔓环成圈
自然	21	霜石覆冰晶
自然	22	蝴蝶翩翅膀
自然	23	动物雕奔跑
自然	24	石碑刻规律
自然	25	岩洞现微光
