3d模型描述	场景描述
发光的感知水晶球 (path, pat, pass, pathy - 感受) - 水晶球发出微光，象征感知与情感。	"""创建一个神秘森林中的感知圣殿场景草图，设定在一片幽深、雾气缭绕的林间空地。场景中包含25个独特的3D物体，每个物体象征一个与感知相关的概念。包括一个发光的感知水晶球、一本漂浮的知识之书、一架瞭望塔上的望远镜、一面映出影像的魔法镜子、一张宣誓的羊皮卷、一根触摸感应发光的魔杖、一座发出低鸣的音调石碑、一只握着卷轴的手雕像、一座燃烧的说话火焰、一束从树梢洒下的光线、一只盘旋询问的乌鸦、一块刻着预言的石板、一棵认知智慧树、一组回响的音波水晶、一盏漂浮的轻盈灯笼、一只窥视的猫头鹰眼睛、一块刻有记号的界碑、一只口吐人言的鹦鹉、一棵巨大的母树、一面显现幻象的镜子、一只咆哮的石狮、一座歌唱的风铃塔、一座宣告信息的瞭望钟、一颗成熟的发光果实、一名守护瞭望的哨兵。物体和谐融入场景：中央是感知圣殿，周围环绕森林元素，感知动作如看、说、触摸自然发生。使用深绿色、紫色和金色的奇幻色调，搭配柔和的雾气和微光效果，在夜晚星空下呈现。""

"
漂浮的知识之书 (sci - 知) - 一本悬浮的书，散发智慧光芒。	
瞭望塔上的望远镜 (spect, speci, spec, spic, spi, spy - 看) - 塔上的望远镜用于观察远方。	
映出影像的魔法镜子 (vis, vid - 看) - 一面镜子显示模糊的影像。	
宣誓的羊皮卷 (fess - 说，宣称) - 一张写满宣言的卷轴。	
触摸感应发光的魔杖 (tact, tang, tag, ting, tig, tast - 接触) - 触摸时发光的魔法杖。	
发出低鸣的音调石碑 (ton, tun - 声，音调) - 石碑发出低沉的音调。	
握着卷轴的手雕像 (tain, ten, tin, tent - 握，持，守) - 一只石手紧握卷轴。	
燃烧的说话火焰 (log, loqu, locut - 言，说) - 火焰中传出低语。	
从树梢洒下的光线 (rad, ray - 光线，辐射) - 光线穿透树叶洒下。	
盘旋询问的乌鸦 (quest, quis, quir, quer - 寻问，求) - 乌鸦盘旋并发出疑问的叫声。	
刻着预言的石板 (dict, dic - 言，说) - 石板上刻有预言文字。	
认知智慧树 (cogn, gno - 知道) - 一棵散发智慧气息的树。	
回响的音波水晶 (phon, phem, fam, phet, fat - 声音，说话) - 水晶发出回荡的声音。	
漂浮的轻盈灯笼 (light - 光，轻，愉快) - 一个漂浮的发光灯笼，象征光明与轻盈。	
窥视的猫头鹰眼睛 (opt, ops, opi - 采取，眼睛) - 猫头鹰的眼睛凝视四周。	
刻有记号的界碑 (mark, marg, march - 作记号，边界) - 一块标示边界的石碑。	
口吐人言的鹦鹉 (parl - 说，谈) - 一只鹦鹉模仿人声说话。	
巨大的母树 (matr, metro, mater - 母) - 一棵巨大的树，象征母亲般的庇护。	
显现幻象的镜子 (monstr - 显示，显现) - 镜子中浮现神秘幻象。	
咆哮的石狮 (claim, clam - 喊叫) - 一只石狮发出咆哮。	
歌唱的风铃塔 (cant, cent, chant, chans - 歌唱) - 风铃塔随风发出歌声。	
宣告信息的瞭望钟 (nounc, nunc - 说，告) - 一座钟敲响时发出宣告。	
成熟的发光果实 (mat - 成熟) - 树上挂着一颗成熟的发光果实。	
守护瞭望的哨兵 (serv, serf - 观看，服务，保留) - 一名哨兵守护并观察四周。	
几何形式的控制台 (form - 形式，格式，形成) - 一个具有规则几何形状的控制台。	"""创建一个未来太空殖民地的场景草图，设定在一个漂浮于星际的巨型空间站中。场景中包含25个独特的3D物体，每个物体象征一个与构建相关的概念。包括一个几何形式的控制台、一个正在组装的机械塔、一个孕育生命的孵化舱、一个旋转的工作机械臂、一个充满能源的储存罐、一座最高的瞭望塔、一个嵌入墙壁的零件架、一个布置的指挥平台、一块分离的浮空平台、一个展开的太阳能板、一台驱动引擎、一个制作工具的3D打印机、一个放置舱门的货箱、一个生态居住舱、一艘停靠的宇宙飞船、一个外星样本箱、一个远程通讯天线、一座深埋地基的支撑柱、一个存在的全息投影仪、一个遮盖的防护罩、一个便利的自动梯、一片殖民居住区、一块短型信息屏幕、一个熔炉倾倒金属液、一个测量仪表的调节器。物体和谐融入场景：中央是空间站核心，周围环绕功能区域，构建动作如组装、放置、展开自然呈现。使用银灰色、蓝色和荧光绿的科技色调，搭配星空背景和微弱的重力漂浮效果，在无尽宇宙中呈现。""

"
正在组装的机械塔 (struct - 建造) - 一座正在搭建的机械塔。	
孕育生命的孵化舱 (pear, par - 生) - 一个培养生命的舱体。	
旋转的工作机械臂 (erg, org, urg - 做，工作) - 一个忙碌工作的机械臂。	
充满能源的储存罐 (ple, plet, pli, ply, plen - 装满) - 一个装满能源的罐体。	
最高的瞭望塔 (sum, sumpt - 最高，总，拿) - 空间站最高的瞭望结构。	
嵌入墙壁的零件架 (sert - 放置，结合) - 一个将零件嵌入墙壁的架子。	
布置的指挥平台 (scen - 设置) - 一个精心布置的指挥中心。	
分离的浮空平台 (part - 分，部分) - 一块从主站分离的浮台。	
展开的太阳能板 (pand, pans - 展开) - 一片展开吸收能量的太阳能板。	
驱动引擎 (ag, act, ig - 驱使；做) - 一台驱动空间站的引擎。	
制作工具的3D打印机 (fac, fec, fic, feas, feit, feat, fit - 做) - 一台打印工具的机器。	
放置舱门的货箱 (pon, pound, pos - 放置) - 一个放置在舱门旁的货箱。	
生态居住舱 (eco, ecu, oce - 住所，经济，生态) - 一个模拟生态的居住舱。	
停靠的宇宙飞船 (nav, nau, naut - 船，航行，海员) - 一艘停靠的飞船。	
外星样本箱 (ali, all - 其它) - 一个装有外星样本的箱子。	
远程通讯天线 (tele - 远) - 一个指向远方的通讯天线。	
深埋地基的支撑柱 (fund, found - 底，基础) - 一根稳固空间站的基柱。	
存在的全息投影仪 (ess, esse, sent, terest - 存在) - 一个投影存在的影像设备。	
遮盖的防护罩 (tect, teg - 掩盖，掩护) - 一个保护设备的防护罩。	
便利的自动梯 (commod - 便利，方便) - 一架方便移动的自动梯。	
殖民居住区 (colon, col - 栖息) - 一片供殖民者居住的区域。	
短型信息屏幕 (brev - 短) - 一个显示简短信息的屏幕。	
熔炉倾倒金属液 (fus, fut, fund, found - 熔化；倾倒) - 一个熔化并倾倒金属的熔炉。	
测量仪表的调节器 (mod - 量器) - 一个用于测量的调节仪表。	
笔直的瞭望塔 (rect - 正，直) - 一座笔直耸立的瞭望塔。	"""创建一个漂浮岛屿的天空之城场景草图，设定在一片悬浮于云端的奇幻群岛中。场景中包含25个独特的3D物体，每个物体象征一个与空间相关的概念。包括一座笔直的瞭望塔、一个悬空的透明平台、一个中间的浮桥、一架旋转的风车、一个抓取货物的机械爪、一个圆形水池、一个标记地点的手绘地图、一个中心的巨型水晶、一片形状奇异的云雕、一个圆形瞭望台、一个放置石碑的基座、一块包裹雾气的浮石、一个荒废的巨大空地、一条宽阔的天空跑道、一个平衡的等重天平、一个球形瞭望舱、一个靠边的悬崖护栏、一块辨识符号的旗帜、一片被敲平的石板、一个球形漂浮灯、一个可切换方向的风向标、一条界限分明的围栏、一个对称的镜面池、一片分割的浮岛、一辆悬浮运输车。物体和谐融入场景：中央是天空之城核心，周围环绕漂浮岛屿，空间概念如直、空、圆自然呈现。使用浅蓝、白云和金黄的梦幻色调，搭配漂浮粒子和柔和阳光，在晴朗高空中呈现。""

"
悬空的透明平台 (vac, vacu, van, void, vain - 空) - 一个空荡透明的悬浮平台。	
中间的浮桥 (medi - 中间) - 一座连接两岛的中间浮桥。	
旋转的风车 (helic - 旋) - 一架旋转的风车，象征螺旋。	
抓取货物的机械爪 (cept, cap, capt, ceiv, ceit, cip, cup - 拿，抓) - 一个抓取货物的机械爪。	
圆形水池 (circ, cycl - 圆) - 一个完美的圆形水池。	
标记地点的手绘地图 (loc - 地方) - 一张标有地点的地图。	
中心的巨型水晶 (centr - 中心) - 一块位于核心的巨大水晶。	
形状奇异的云雕 (scape - 形状) - 一片雕刻成奇形怪状的云。	
圆形瞭望台 (orb - 圆) - 一个圆形的瞭望平台。	
放置石碑的基座 (place - 放，地方) - 一个放置纪念石碑的基座。	
包裹雾气的浮石 (velop - 包，裹，卷) - 一块被雾气包裹的漂浮石。	
荒废的巨大空地 (vast, wast - 空，荒废) - 一片空旷荒废的区域。	
宽阔的天空跑道 (latitud, lati, latis - 宽) - 一条宽广的空中跑道。	
平衡的等重天平 (equ, iqu - 相等) - 一个保持平衡的天平。	
球形瞭望舱 (spher - 球，圈，层) - 一个球形的瞭望舱。	
靠边的悬崖护栏 (coast, cost - 肋骨，旁边，边) - 一个靠边缘的护栏。	
辨识符号的旗帜 (cern, cret, creet, cre - 辨别) - 一面带有辨识符号的旗帜。	
被敲平的石板 (plain, plaint - 打) - 一块被敲打平整的石板。	
球形漂浮灯 (glob, glom - 球) - 一个漂浮的球形灯。	
可切换方向的风向标 (alter, altern - 改变，替换) - 一个可改变方向的风向标。	
界限分明的围栏 (limit, limin, lim - 界限) - 一条清晰划分界限的围栏。	
对称的镜面池 (par, pair, per, pir, peer - 相等) - 一个对称的镜面水池。	
分割的浮岛 (divid, divis - 分) - 一片被分割开的浮岛。	
悬浮运输车 (car, char - 车) - 一辆悬浮在空中的运输车。	
熔炉递送铁块的手臂 (dit, dat, dot, don, dow, dos - 给) - 一个递送材料的机械手臂。	"""创建一个火山要塞的锻造之地场景草图，设定在一座炽热熔岩环绕的巨型堡垒中。场景中包含25个独特的3D物体，每个物体象征一个与力量相关的概念。包括一个熔炉递送铁块的手臂、一座命令塔上的号角、一串悬挂的铁链、一个胜利的战旗、一台压平金属的巨锤、一个沉重的石座、一根拉紧的熔岩索桥、一捆捆绑的木柴、一个关闭的铁门、一把松开的绳结、一团燃烧的熔岩火球、一柄打击铁砧的锤子、一根系紧的绳索、一把暴力砍劈的巨斧、一块破碎的石墙、一圈绑紧的铁环、一根拧紧的螺旋钻、一堆盐晶矿石、一块强力的钢盾、一座国库金箱、一根坚固的支撑柱、一块添加燃料的煤炭、一尊展示力量的雕像、一座强壮的瞭望塔、一只抓住铁链的机械爪。物体和谐融入场景：中央是锻造熔炉，周围环绕火山元素，力量动作如压、拉、绑自然呈现。使用炽红、黑色和铁灰的热烈色调，搭配熔岩光芒和烟雾效果，在火山喷发背景下呈现。""

"
命令塔上的号角 (emper, imper - 命令) - 一支发出命令的号角。	
悬挂的铁链 (pend, pens, pond, penc - 悬挂，称量，花费) - 一串悬挂在空中的铁链。	
胜利的战旗 (vinc, vict - 胜，征服) - 一面象征胜利的旗帜。	
压平金属的巨锤 (press - 压，按) - 一把压平金属的大锤。	
沉重的石座 (sit, sid, sed, sess - 坐) - 一个沉重稳固的石座。	
拉紧的熔岩索桥 (strain, strict, stress, string, strang - 拉紧) - 一座被拉紧的索桥。	
捆绑的木柴 (fasc - 捆，束) - 一捆捆绑好的木柴。	
关闭的铁门 (clud, clus, clos, clois, claus, clot - 关闭) - 一扇紧闭的铁门。	
松开的绳结 (solv, solu, solut - 解，松的) - 一个被解开的绳结。	
燃烧的熔岩火球 (flagr, flam - 燃烧，火焰) - 一团炽热的熔岩火球。	
打击铁砧的锤子 (fend, fens - 打击) - 一柄敲打铁砧的锤子。	
系紧的绳索 (nect, nex - 结，系) - 一根系紧货物的绳索。	
暴力砍劈的巨斧 (viol - 力，暴力) - 一把用力劈砍的巨斧。	
破碎的石墙 (rupt - 破) - 一块被打破的石墙。	
绑紧的铁环 (li, lig, ly, leag - 绑) - 一圈绑紧的铁环。	
拧紧的螺旋钻 (tort, tor - 扭，拧) - 一个拧紧的螺旋钻头。	
盐晶矿石堆 (sal, salt - 盐) - 一堆闪耀的盐晶矿石。	
强力的钢盾 (val - 强) - 一面坚韧的钢盾。	
国库金箱 (fisc - 国库) - 一个装满金币的国库箱。	
坚固的支撑柱 (firm - 坚固，固定) - 一根稳固支撑的柱子。	
添加燃料的煤炭 (add - 加，加上) - 一块被添加进熔炉的煤炭。	
展示力量的雕像 (pot, poss, pow - 力量，能力) - 一尊展示力量的战士雕像。	
强壮的瞭望塔 (forc, fort - 力量，强壮) - 一座强壮的瞭望塔。	
抓住铁链的机械爪 (prehend, prehens - 抓住) - 一个抓住铁链的机械爪。	
折叠的节日彩带 (plic, ply, pli, ple, plex, plo - 倍，重，折叠) - 一叠折叠起来的彩带。	"""创建一个中世纪庄园的节日庆典场景草图，设定在一片热闹的乡村庄园中，周围是田野和木屋。场景中包含25个独特的3D物体，每个物体象征一个与情感相关的概念。包括一叠折叠的节日彩带、一块松弛垂下的帐篷布、一箱闪耀的财富金币、一把插在地上的破损长矛、一根紧绷的拉弓弦、一块刻有确认誓言的石碑、一束感恩献上的鲜花、一只惊恐飞散的乌鸦、一棵成长中的橡树、一颗燃烧的爱心火炬、一只受惊跳跃的兔子、一根惩罚用的木枷、一面荣誉飘扬的旗帜、一颗最闪亮的金苹果、一串流泪的蜡烛、一件合身的节日长袍、一盘堆满食物的宴会桌、一根象征意志的权杖、一块刚出炉的面包、一堆混乱翻倒的酒桶、一座罗马风格的雕像、一盏明亮的澄清灯笼、一只忠诚的看门犬、一块被敲打的金属徽章、一本摆放整齐的规则书。物体和谐融入场景：中央是庄园广场，周围环绕庆典元素，情感表达如爱、恐惧、满足自然呈现。使用温暖的棕色、金黄和柔红的色调，搭配篝火光芒和节日烟花，在黄昏时分呈现。""

"
松弛垂下的帐篷布 (lax - 松弛，放松) - 一块松弛垂在帐篷上的布料。	
财富金币箱 (fortun - 财富) - 一个装满金币的宝箱。	
破损长矛 (noc, nox, nui, nec - 伤害) - 一把插在地上的受损长矛。	
紧绷的拉弓弦 (anxi - 紧张，不安) - 一根拉紧的弓弦，象征紧张。	
确认誓言的石碑 (sur - 确定) - 一块刻有誓言的石碑。	
感恩献上的鲜花 (grat, grac, gree - 感谢) - 一束献上的感恩花束。	
惊恐飞散的乌鸦 (hor - 怕) - 一只因恐惧而飞散的乌鸦。	
成长中的橡树 (obsolesc, obsolet - 成长，长大) - 一棵茁壮成长的橡树。	
燃烧的爱心火炬 (am, amor, amat - 爱，情爱) - 一支燃烧着心形火焰的火炬。	
受惊跳跃的兔子 (terr - 惊吓) - 一只被吓得跳起的兔子。	
惩罚用的木枷 (damn, demn - 惩罚，伤害) - 一个锁住双手的木枷。	
荣誉飘扬的旗帜 (honor, hono, honest - 荣誉) - 一面高高飘扬的荣誉旗。	
最闪亮的金苹果 (optim - 最好的) - 一颗闪耀的最佳苹果。	
流泪的蜡烛 (plor - 流出，哀叫，哀叹) - 一串滴下蜡泪的蜡烛。	
合身的节日长袍 (apt, ept, att - 适当，适应) - 一件合身的节日服装。	
堆满食物的宴会桌 (sat, satis, satur - 足，满，饱) - 一张满载美食的桌子。	
象征意志的权杖 (vol, volunt - 意志，意愿) - 一根代表意志的权杖。	
刚出炉的面包 (pan - 面包) - 一块热腾腾的面包。	
混乱翻倒的酒桶 (turb, turbul - 骚乱，骚扰) - 一堆翻倒的酒桶，象征骚乱。	
罗马风格的雕像 (roma - 罗马) - 一座仿罗马风格的雕像。	
明亮的澄清灯笼 (clar, clear, clair - 清楚，明白) - 一盏照亮一切的灯笼。	
忠诚的看门犬 (fid, fi, fy, feder, feal - 相信) - 一只忠诚守门的狗。	
被敲打的金属徽章 (typ - 打击，压印) - 一块被敲打成型的徽章。	
摆放整齐的规则书 (norm - 规范，正规，正常) - 一本整齐摆放的规则书。	
刺向天空的尖矛 (stinct, sting, sti - 刺，扑灭) - 一根直刺天空的矛。	"""创建一个古罗马城市的集会广场场景草图，设定在一座宏伟的石砌城市中心，周围环绕柱廊和雕像。场景中包含25个独特的3D物体，每个物体象征一个与社会相关的概念。包括一根刺向天空的尖矛、一卷法律卷轴、一块镶嵌珍贵宝石的石碑、一座城市模型、一座统治者的高大雕像、一块刻有命令的石板、一排整齐的士兵盔甲、一座庄严的法庭天平、一根惩罚用的鞭子、一座带圆顶的统治大厅、一块控诉罪行的告示牌、一套使用中的石磨、一座政治集会台、一根象征规则的权杖、一面公民身份的旗帜、一座管理用的瞭望塔、一座宏伟的大理石拱门、一块警告用的铜锣、一张命令书卷、一座公共喷泉、一群联合欢呼的人偶、一座人民集会的露台、一台计算税收的算盘、一座停驻的瞭望哨、一座小型瞭望模型。物体和谐融入场景：中央是集会广场，周围环绕社会元素，社会行为如统治、惩罚、联合自然呈现。使用米白、大理石灰和深红的古典色调，搭配阳光照射和微风吹动的旗帜，在晴朗白天呈现。""

"
法律卷轴 (lect, lig, leg, legis - 采集，读，说，法律) - 一卷记录法律的卷轴。	
镶嵌珍贵宝石的石碑 (preci, prais, pric, priz - 价值) - 一块装饰珍贵宝石的石碑。	
城市模型 (urb - 城市) - 一个展示城市布局的模型。	
统治者的高大雕像 (arch, archa - 统治，起始) - 一座统治者的巨型雕像。	
刻有命令的石板 (order, ord, ordin, ordain - 命令) - 一块刻有命令的石板。	
士兵盔甲排 (milit - 兵) - 一排整齐的士兵盔甲。	
法庭天平 (jur, jud, jus - 法律) - 一座象征司法的天平。	
惩罚用的鞭子 (pun, poen, pain, penal, pent - 惩罚) - 一根悬挂的惩罚鞭子。	
带圆顶的统治大厅 (dom, domat, domin - 屋，统治) - 一座圆顶统治大厅。	
控诉罪行的告示牌 (crim, crimin - 控诉，罪行) - 一块写有罪行的告示牌。	
使用中的石磨 (us, uti, ut - 使用) - 一套正在使用的石磨。	
政治集会台 (polit, polic, polis - 城市) - 一座政治演讲的平台。	
象征规则的权杖 (reg - 规则，统治) - 一根代表规则的权杖。	
公民身份的旗帜 (civ, cit - 公民，城市) - 一面象征公民的旗帜。	
管理用的瞭望塔 (gubern, govern - 管理，统治) - 一座用于管理的瞭望塔。	
宏伟的大理石拱门 (maj, max, magn - 伟大，壮大) - 一座壮观的大理石拱门。	
警告用的铜锣 (mon - 提醒，警告，单一，公共) - 一块敲响警告的铜锣。	
命令书卷 (mand, mend - 命令) - 一卷写有命令的书卷。	
公共喷泉 (mun - 公共) - 一座供公众使用的喷泉。	
联合欢呼的人偶 (soci - 同伴，联合，结合) - 一群象征团结的人偶。	
人民集会的露台 (popul, publ - 人民) - 一座人民聚集的露台。	
计算税收的算盘 (put, count - 数，计算，考虑) - 一台用于计算的算盘。	
停驻的瞭望哨 (main, man - 停驻) - 一座停驻瞭望的哨塔。	
小型瞭望模型 (min - 小) - 一个小型的瞭望塔模型。	
召唤用的号角 (cit, cite, citat - 召唤) - 一支吹响召唤的号角。	"""创建一个生命之树的疗愈圣地场景草图，设定在一片郁郁葱葱的森林中，中央是一棵巨大的生命之树，周围环绕流水与草地。场景中包含25个独特的3D物体，每个物体象征一个与身体相关的概念。包括一个召唤用的号角、一颗新生幼苗、一尊站立的石像、一张吞咽形状的树根、一面雕刻面部的木盾、一双脚印石板、一条蜿蜒小路、一根发光的神经藤蔓、一只握着果实的手雕像、一顶头骨装饰的王冠、一团漂浮的幻影雾气、一对肺形树叶、一根气管状树枝、一只螃蟹石雕、一架运动用的木梯、一只聆听的巨耳、一颗心形红宝石、一座居住用的小木屋、一双迈向远方的靴子、一块刻有死亡符号的墓碑、一块肉形蘑菇、一对乳房状果实、一座欢迎客人的拱门、一尊人类雕像、一块倾斜的疗愈石床。物体和谐融入场景：中央是生命之树，周围环绕自然与身体元素，身体动作如站、听、倾自然呈现。使用翠绿、土棕和生命红的自然色调，搭配潺潺流水和微光效果，在清晨薄雾中呈现。""

"
新生幼苗 (nat, nasc, naiss, naiv - 出生) - 一颗刚破土的新苗。	
站立的石像 (st, sist, stat, stin, stem - 立，站) - 一尊直立的石像。	
吞咽形状的树根 (gorg - 吞咽) - 一段形似吞咽的树根。	
雕刻面部的木盾 (fac, fic, front - 面部，正面，前额) - 一面刻有面部的盾牌。	
脚印石板 (ped, pod, patch - 脚) - 一块带有脚印的石板。	
蜿蜒小路 (od - 路) - 一条蜿蜒穿过森林的小路。	
发光的神经藤蔓 (nerv, neur - 神经) - 一根发光如神经的藤蔓。	
握着果实的手雕像 (manu, man - 手) - 一只握着果实的手形雕像。	
头骨装饰的王冠 (capit, cap, cep, chapt, cip, chef, chief, cephal - 头) - 一顶装饰头骨的王冠。	
漂浮的幻影雾气 (fan, phan - 幻影，幻象) - 一团模糊的幻影雾气。	
肺形树叶 (pneum - 肺) - 一对形似肺部的树叶。	
气管状树枝 (bronch - 气管) - 一根形似气管的树枝。	
螃蟹石雕 (cancer, cancr - 螃蟹，癌症) - 一只雕刻的螃蟹石像。	
运动用的木梯 (gymn - 运动，体育) - 一架用于攀爬的木梯。	
聆听的巨耳 (aud - 听) - 一只放大聆听的耳朵雕像。	
心形红宝石 (cor, card, cour - 心（脏）) - 一颗形似心脏的红宝石。	
居住用的小木屋 (habit, hibit - 拥有，占据，居住) - 一座供居住的小木屋。	
迈向远方的靴子 (fare - 去) - 一双迈步远行的靴子。	
刻有死亡符号的墓碑 (mort, mors, mor - 死) - 一块刻有死亡符号的墓碑。	
肉形蘑菇 (carn - 肉) - 一块形似肉的蘑菇。	
乳房状果实 (mamm - 乳房) - 一对形似乳房的果实。	
欢迎客人的拱门 (hospit, host - 客人，主人，敌人) - 一座欢迎来客的拱门。	
人类雕像 (hom, hum - 人；土地；人类；卑下；湿) - 一尊象征人类的雕像。	
倾斜的疗愈石床 (clin, cli, cliv - 倾) - 一块倾斜的疗愈石床。	
准备好的沙漏堆 (par - 准备) - 一堆准备计时的沙漏。	"""创建一个时间守护者的钟塔废墟场景草图，设定在一座古老而破旧的巨型钟塔周围，周围环绕断壁残垣与齿轮遗迹。场景中包含25个独特的3D物体，每个物体象征一个与时间相关的概念。包括一堆准备好的沙漏、一座巨大的时间钟盘、一块重要的日晷刻盘、一根搬运时间的长杆、一台尝试运转的实验齿轮、一本记录一天的日记、一座接近倒塌的拱桥、一块终结标记的石碑、一面领先飘扬的旗帜、一组反复摆动的钟摆、一盏日光灯笼、一块稀有时间水晶、一根第一刻度的标杆、一片降落的钟塔碎片、一列排列整齐的齿轮、一块限定时间的界碑、一座联合时间的圆形石台、一块变幻颜色的水晶、一轮升起的太阳雕像、一圈年轮树桩、一尊守护时间的守卫雕像、一根尝试触碰的探针、一块最后的倒计时石板、一支追求时间的羽毛笔、一台测量时间的古董仪器。物体和谐融入场景：中央是钟塔废墟，周围环绕时间元素，时间概念如准备、终结、测量自然呈现。使用锈铜、灰石和淡金的复古色调，搭配破旧齿轮和微弱阳光，在阴沉薄暮中呈现。""

"
巨大的时间钟盘 (temper, tempor - 时间) - 一座巨大的钟盘显示时间。	
重要的日晷刻盘 (seri - 重要) - 一块刻有重要标记的日晷。	
搬运时间的长杆 (lat - 拿，持，带来，搬运，担负) - 一根搬运时间工具的长杆。	
尝试运转的实验齿轮 (peri, pert - 试验，尝试) - 一台尝试运行的齿轮装置。	
记录一天的日记 (journ - 一天) - 一本记录每日时间的日记。	
接近倒塌的拱桥 (proach, proxim - 接近) - 一座接近崩塌的拱桥。	
终结标记的石碑 (fin - 终结，末尾，界限) - 一块标记终点的石碑。	
领先飘扬的旗帜 (van, advance, advant - 前，先) - 一面领先时间的旗帜。	
反复摆动的钟摆 (frequen, frequent - 反复) - 一组反复摆动的钟摆。	
日光灯笼 (di - 日) - 一盏象征日光的灯笼。	
稀有时间水晶 (rar - 稀有) - 一块罕见的时间水晶。	
第一刻度的标杆 (prim, prem, prin, pri - 第一) - 一根标记第一时间的标杆。	
降落的钟塔碎片 (cad, cas, cid - 降落) - 一片从钟塔降落的碎片。	
排列整齐的齿轮 (rang, rank - 排列，顺序) - 一列按顺序排列的齿轮。	
限定时间的界碑 (term, termin - 限定，界线，末端) - 一块限定时间的界碑。	
联合时间的圆形石台 (un, uni - 整体；联合) - 一座联合时间刻度的石台。	
变幻颜色的水晶 (var - 变) - 一块颜色变化的水晶。	
升起的太阳雕像 (ori, ort, orig - 升起) - 一座象征日出的太阳雕像。	
年轮树桩 (ann, enn - 年) - 一圈显示年份的树桩。	
守护时间的守卫雕像 (person, parson - 人) - 一尊守护时间的守卫雕像。	
尝试触碰的探针 (tempt, tent - 尝试，触摸) - 一根尝试触碰时间的探针。	
最后的倒计时石板 (ultim - 最后) - 一块标记最后时刻的石板。	
追求时间的羽毛笔 (pet, pit, peat - 追求) - 一支追求时间记录的羽毛笔。	
测量时间的古董仪器 (meter, metr, meas, mens - 计量，测量) - 一台古老的测量仪器。	
